iter	Passed	Remaining
0	3	3644
1	7	3927
2	11	3862
3	14	3637
4	18	3590
5	21	3550
6	25	3577
7	28	3530
8	31	3501
9	34	3452
10	38	3442
11	41	3433
12	45	3427
13	49	3488
14	53	3487
15	57	3529
16	61	3552
17	65	3572
18	67	3496
19	71	3508
20	75	3496
21	78	3474
22	81	3471
23	85	3487
24	89	3480
25	92	3482
26	96	3490
27	100	3481
28	103	3479
29	108	3494
30	111	3485
31	115	3486
32	118	3475
33	121	3466
34	126	3477
35	129	3468
36	132	3451
37	135	3441
38	139	3433
39	142	3416
40	145	3409
41	149	3401
42	152	3397
43	156	3392
44	159	3388
45	162	3371
46	166	3376
47	169	3369
48	173	3369
49	178	3382
50	181	3377
51	184	3367
52	188	3361
53	191	3354
54	195	3359
55	199	3364
56	203	3359
57	206	3357
58	210	3361
59	214	3354
60	217	3346
61	221	3350
62	225	3353
63	228	3346
64	232	3340
65	235	3335
66	239	3329
67	242	3329
68	246	3332
69	250	3327
70	253	3322
71	257	3318
72	261	3319
73	264	3313
74	268	3316
75	272	3310
76	275	3304
77	279	3299
78	282	3297
79	287	3304
80	291	3309
81	294	3301
82	298	3297
83	302	3294
84	306	3298
85	310	3299
86	314	3297
87	317	3291
88	321	3290
89	325	3286
90	328	3281
91	331	3276
92	335	3274
93	339	3269
94	342	3260
95	346	3260
96	349	3255
97	353	3250
98	356	3246
99	360	3246
100	363	3237
101	367	3231
102	370	3225
103	373	3219
104	377	3218
105	381	3219
106	385	3214
107	389	3212
108	392	3207
109	395	3201
110	399	3203
111	403	3199
112	407	3195
113	411	3195
114	414	3191
115	418	3187
116	421	3182
117	423	3169
118	427	3168
119	431	3162
120	435	3162
121	438	3157
122	441	3149
123	445	3144
124	448	3142
125	452	3136
126	456	3137
127	459	3132
128	463	3127
129	467	3126
130	471	3130
131	476	3131
132	479	3128
133	483	3123
134	486	3119
135	489	3111
136	493	3106
137	497	3104
138	500	3100
139	503	3095
140	507	3090
141	511	3090
142	514	3085
143	518	3080
144	522	3078
145	525	3074
146	529	3072
147	532	3067
148	536	3063
149	541	3067
150	545	3067
151	548	3062
152	552	3058
153	556	3055
154	559	3049
155	563	3051
156	567	3046
157	571	3044
158	574	3039
159	578	3035
160	582	3033
161	585	3029
162	589	3027
163	592	3022
164	596	3018
165	600	3017
166	604	3016
167	608	3011
168	611	3007
169	615	3005
170	618	3000
171	622	2995
172	626	2993
173	629	2988
174	633	2985
175	637	2982
176	640	2978
177	644	2974
178	648	2972
179	651	2967
180	654	2961
181	658	2957
182	661	2952
183	665	2950
184	668	2946
185	672	2942
186	676	2940
187	679	2935
188	683	2934
189	687	2931
190	690	2926
191	694	2922
192	698	2919
193	702	2916
194	705	2912
195	708	2907
196	712	2905
197	716	2901
198	719	2897
199	723	2894
200	727	2893
201	731	2890
202	735	2885
203	738	2881
204	742	2878
205	745	2873
206	747	2864
207	751	2860
208	754	2856
209	757	2850
210	761	2849
211	765	2844
212	768	2840
213	772	2838
214	776	2833
215	780	2831
216	783	2827
217	787	2824
218	791	2821
219	794	2818
220	797	2812
221	800	2807
222	804	2803
223	808	2801
224	811	2796
225	815	2792
226	820	2792
227	823	2788
228	827	2787
229	831	2783
230	834	2779
231	838	2775
232	842	2772
233	846	2771
234	850	2767
235	854	2764
236	858	2762
237	862	2761
238	866	2759
239	871	2760
240	875	2757
241	879	2753
242	883	2752
243	887	2751
244	891	2747
245	895	2745
246	896	2734
247	900	2731
248	905	2732
249	909	2729
250	913	2725
251	917	2722
252	921	2720
253	925	2718
254	928	2714
255	932	2710
256	936	2707
257	940	2705
258	944	2702
259	947	2697
260	951	2692
261	955	2691
262	958	2685
263	962	2684
264	966	2680
265	970	2677
266	974	2674
267	977	2670
268	980	2665
269	984	2662
270	988	2658
271	991	2654
272	995	2650
273	998	2645
274	1002	2642
275	1005	2638
276	1009	2634
277	1012	2629
278	1016	2627
279	1020	2624
280	1024	2622
281	1028	2618
282	1031	2613
283	1035	2611
284	1039	2607
285	1042	2603
286	1046	2600
287	1050	2596
288	1054	2594
289	1058	2590
290	1061	2586
291	1064	2581
292	1068	2577
293	1071	2572
294	1074	2568
295	1078	2565
296	1082	2561
297	1086	2559
298	1090	2556
299	1093	2552
300	1097	2548
301	1100	2543
302	1105	2542
303	1108	2538
304	1113	2537
305	1116	2532
306	1119	2527
307	1123	2523
308	1127	2520
309	1130	2516
310	1133	2511
311	1137	2507
312	1140	2503
313	1144	2501
314	1148	2496
315	1151	2492
316	1154	2488
317	1158	2485
318	1163	2482
319	1166	2478
320	1170	2475
321	1174	2472
322	1177	2468
323	1181	2465
324	1185	2461
325	1188	2456
326	1192	2453
327	1195	2449
328	1199	2445
329	1202	2441
330	1206	2438
331	1209	2434
332	1213	2430
333	1216	2426
334	1221	2423
335	1224	2420
336	1227	2415
337	1231	2411
338	1235	2408
339	1238	2404
340	1242	2400
341	1245	2396
342	1249	2394
343	1254	2391
344	1258	2389
345	1262	2385
346	1265	2381
347	1269	2379
348	1274	2376
349	1277	2372
350	1280	2368
351	1286	2368
352	1290	2364
353	1294	2361
354	1298	2358
355	1302	2356
356	1306	2353
357	1310	2350
358	1314	2347
359	1318	2344
360	1322	2341
361	1326	2337
362	1329	2333
363	1333	2330
364	1337	2326
365	1341	2324
366	1345	2320
367	1349	2317
368	1353	2314
369	1356	2310
370	1361	2307
371	1364	2303
372	1368	2299
373	1371	2295
374	1375	2292
375	1379	2289
376	1383	2286
377	1386	2282
378	1390	2278
379	1395	2276
380	1399	2273
381	1403	2269
382	1406	2266
383	1410	2263
384	1414	2259
385	1417	2255
386	1421	2250
387	1424	2247
388	1428	2244
389	1432	2241
390	1436	2237
391	1440	2233
392	1444	2230
393	1448	2228
394	1452	2224
395	1456	2221
396	1460	2217
397	1463	2213
398	1467	2209
399	1471	2207
400	1475	2204
401	1479	2200
402	1483	2197
403	1486	2193
404	1490	2189
405	1493	2185
406	1497	2181
407	1500	2177
408	1504	2174
409	1508	2170
410	1511	2166
411	1515	2163
412	1519	2159
413	1523	2156
414	1526	2152
415	1530	2148
416	1533	2144
417	1537	2140
418	1540	2136
419	1545	2133
420	1550	2131
421	1553	2128
422	1557	2124
423	1560	2120
424	1564	2117
425	1568	2114
426	1572	2110
427	1576	2106
428	1579	2102
429	1583	2099
430	1587	2095
431	1591	2092
432	1594	2088
433	1598	2084
434	1601	2080
435	1605	2076
436	1609	2073
437	1612	2069
438	1617	2066
439	1620	2062
440	1623	2058
441	1627	2054
442	1630	2050
443	1634	2046
444	1637	2042
445	1641	2038
446	1644	2034
447	1648	2030
448	1652	2027
449	1655	2023
450	1659	2019
451	1662	2015
452	1666	2012
453	1670	2008
454	1674	2005
455	1678	2002
456	1682	1999
457	1686	1995
458	1690	1992
459	1693	1988
460	1696	1984
461	1700	1980
462	1704	1976
463	1707	1972
464	1711	1969
465	1714	1965
466	1718	1961
467	1722	1958
468	1726	1954
469	1730	1951
470	1733	1947
471	1737	1943
472	1741	1940
473	1745	1936
474	1748	1933
475	1752	1929
476	1756	1925
477	1759	1921
478	1763	1918
479	1767	1915
480	1772	1912
481	1775	1908
482	1779	1904
483	1783	1901
484	1786	1897
485	1790	1894
486	1794	1890
487	1797	1886
488	1801	1882
489	1806	1879
490	1809	1876
491	1814	1873
492	1818	1870
493	1823	1867
494	1827	1864
495	1830	1860
496	1834	1856
497	1837	1852
498	1842	1849
499	1845	1845
500	1849	1842
501	1853	1839
502	1857	1835
503	1861	1831
504	1864	1828
505	1868	1824
506	1871	1820
507	1875	1816
508	1879	1813
509	1883	1809
510	1886	1805
511	1891	1802
512	1894	1798
513	1898	1795
514	1902	1791
515	1906	1787
516	1910	1784
517	1913	1780
518	1917	1777
519	1920	1772
520	1924	1768
521	1928	1765
522	1931	1761
523	1935	1758
524	1939	1754
525	1942	1750
526	1946	1746
527	1949	1742
528	1953	1739
529	1956	1735
530	1960	1731
531	1963	1727
532	1966	1723
533	1971	1720
534	1974	1716
535	1978	1712
536	1982	1709
537	1986	1705
538	1990	1702
539	1994	1699
540	1998	1695
541	2002	1691
542	2006	1688
543	2009	1684
544	2013	1680
545	2016	1676
546	2020	1673
547	2023	1669
548	2027	1665
549	2031	1661
550	2034	1657
551	2038	1654
552	2041	1650
553	2045	1646
554	2048	1642
555	2052	1639
556	2056	1635
557	2060	1631
558	2064	1628
559	2067	1624
560	2071	1621
561	2075	1617
562	2079	1613
563	2082	1609
564	2085	1605
565	2088	1601
566	2092	1597
567	2095	1594
568	2099	1590
569	2103	1586
570	2106	1582
571	2109	1578
572	2113	1574
573	2116	1570
574	2119	1566
575	2123	1563
576	2127	1559
577	2130	1555
578	2133	1551
579	2137	1547
580	2140	1543
581	2144	1539
582	2148	1536
583	2151	1532
584	2154	1528
585	2158	1525
586	2162	1521
587	2165	1517
588	2169	1513
589	2172	1510
590	2176	1506
591	2179	1502
592	2183	1498
593	2186	1494
594	2189	1490
595	2193	1486
596	2198	1483
597	2202	1480
598	2206	1476
599	2209	1472
600	2213	1469
601	2217	1465
602	2219	1461
603	2222	1457
604	2226	1453
605	2229	1449
606	2234	1446
607	2238	1442
608	2241	1439
609	2245	1435
610	2248	1431
611	2252	1427
612	2256	1424
613	2259	1420
614	2263	1416
615	2266	1412
616	2269	1408
617	2272	1404
618	2276	1401
619	2279	1397
620	2283	1393
621	2286	1389
622	2289	1385
623	2292	1381
624	2296	1377
625	2299	1373
626	2303	1370
627	2308	1367
628	2312	1363
629	2316	1360
630	2320	1356
631	2323	1352
632	2326	1349
633	2330	1345
634	2334	1342
635	2338	1338
636	2342	1334
637	2346	1331
638	2350	1327
639	2354	1324
640	2358	1320
641	2361	1316
642	2365	1313
643	2367	1308
644	2370	1304
645	2373	1300
646	2377	1297
647	2381	1293
648	2385	1290
